Country,Max_Weight_Ton,Max_Weight_Special_Case,Max_Weight_Special_Value,Max_Length_M,Max_Length_Special_Case,Max_Length_Special_Value,Max_Width_M,Max_Height_M,Oversize_Permit_Required,Rest_45h_In_Cabin_Allowed,Rest_45h_Special_Note,Min_Hotel_Standard,Hotel_Invoice_Required,Weekend_Driving_Ban,Ban_Details,Ban_Vehicle_Type_Restriction,Ban_Season_Summer,Ban_Summer_Months,Emission_Zone_LEZ,Emission_Zone_Cities,Min_Euro_Class,Min_Euro_Class_Restriction,LEZ_Details,Toll_System,Toll_System_Box_Name,Toll_Payment_Method,Toll_Payment_Special_Notes,Tachograph_Type_Required,Tachograph_Mandatory_From_Year,Driver_CPC_Required,Driver_CPC_Hours,Driver_CPC_Renewal_Years,A1_Certificate_Required,A1_Certificate_Notes,A1_Issuing_Authority,Required_Documents,Cabotage_Max_Operations,Cabotage_Days_Limit,Cabotage_Cooling_Period_Days,Cross_Border_Reporting,Cross_Border_System,Load_Securing_Standard,ADR_Certificate_Required,ADR_Renewal_Years,ADR_Tunnel_Restrictions_Categories,Vehicle_Insurance_Liability,Cargo_Insurance_Mandatory,Cargo_Insurance_Special_Note,Winter_Tires_Required,Winter_Tires_Period_Start,Winter_Tires_Period_End,Winter_Tires_Min_Tread_MM,Winter_Tires_Special_Type,Winter_Tires_Special_Value_MM,Snow_Chains_Required,Speed_Limit_Urban_KMH,Speed_Limit_Urban_Special_Time,Speed_Limit_Urban_Special_Value,Speed_Limit_Rural_KMH,Speed_Limit_Rural_Vehicle_Type,Speed_Limit_Rural_Special_Value,Speed_Limit_Expressway_KMH,Speed_Limit_Expressway_Special_Type,Speed_Limit_Expressway_Special_Value,Speed_Limit_Highway_KMH,Speed_Limit_Highway_Special_Type,Speed_Limit_Highway_Special_Value,Alcohol_Limit_Commercial_G_L,Alcohol_Limit_Special_Type,Alcohol_Limit_Special_Value,Overtaking_Ban_Exists,Overtaking_Ban_Details,Parking_Shortage_Issue,Parking_Shortage_Level,Equipment_Item_1,Equipment_Item_2,Equipment_Item_3,Equipment_Item_4,Equipment_Item_5,Equipment_Special_Item,Equipment_Special_Quantity,Penalty_Min_Value,Penalty_Min_Currency,Penalty_Max_Value,Penalty_Max_Currency,Posting_Declaration_Required,Posting_Declaration_Portal,Posting_Declaration_Extra_Notes,Notes,Law_Reference_URL
France,44,,,18.75,,,2.55,4.0,Yes,No,,Hotel 2 stars,Yes,Yes,Saturday 22:00 to Sunday 22:00,,Yes,July-August,Yes,"Paris, Lyon, other major cities",Euro 6,,24/7 enforcement,Vinci,,"OBU, e-toll, manual stations",,Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,,"Passport, driving license, CPC card, tachograph card, CMR, trailer registration, insurance, A1",3,7,4,Yes,IMI,"EN 12195-1, national rules",Yes,5,A-E (Mont Blanc = E),Mandatory EU,Recommended,,Conditional,November 1,March 31,3.0,,,When signed,50,,,80,Combo over 12t,60.0,80,,,90,,,0.5,Bus drivers,0.2,Yes,Selected sections,Yes,,Warning vests,Triangles,First aid kit,Fire extinguisher,Spare bulbs,Warning vests,2.0,500,EUR,30000,EUR,Yes,postingdeclaration.eu,,"45h rest outside cabin mandatory, strict enforcement",securite-routiere.gouv.fr
Germany,44,,,25.25,LHV on designated routes,,2.55,4.0,Yes,No,Since 2017,Hotel with invoice,Yes,Yes,"Saturday 7:00-20:00, Sunday 0:00-22:00",,Yes,July-August with extensions,Yes,All major cities,Euro 4 diesel,Euro 1 petrol,"Green sticker required, 24/7",TollCollect,,OBU mandatory for trucks over 7.5t,"Distance-based, axle/emission class based",Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,,"Passport, license, CPC, tachograph card, CMR, trailer registration, A1, posting certificate",3,7,4,Yes,IMI,"VDI 2700, national additions",Yes,5,A-E,Mandatory EU,Yes,Legally required,Conditional,October 1,April 30,1.6,M+S or 3PMSF recommended,4.0,When signed,50,,,60,For trucks over 7.5t,80.0,60,Depends on weight/trailer type,80.0,80,With trailer,,0.0,,,Yes,Many sections,Yes,Severe,First aid kit,Warning vest,Warning triangle,,,,,100,EUR,1500,EUR,Yes,postingdeclaration.eu,Plus customs notification,"Strict posting rules, cargo insurance mandatory, shortage of safe parking",toll-collect.de
Poland,40,Intermodal transport,44.0,18.75,,,2.55,4.0,Yes,No,,Hotel or motel,Yes,Yes,Saturday 8:00-14:00 on national roads,Trucks over 12t,Yes,July-August with additional restrictions,Yes,"Warsaw, Krakow",Varies by city,Euro 4-6 range,"Warsaw from 2024, Krakow from 2025 (staged)",e-TOLL,,"OBU or mobile app, mandatory for trucks over 3.5t",,Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,ZUS,"Passport, license, CPC, tachograph card, CMR, trailer registration, A1, owner authorization",3,7,4,Yes,IMI,EN 12195-1,Yes,5,A-E,Mandatory EU,Recommended,,Conditional,November 15,March 31,3.0,For drive axle on trucks over 3.5t,,When signed,50,Night 23:00-5:00,60.0,70,On dual carriageway,80.0,80,,,80,,,0.2,,,Yes,Selected sections,Yes,,Warning triangle,First aid kit,Fire extinguisher,,,,,100,PLN,500,PLN,Yes,postingdeclaration.eu,,"A1 from ZUS, e-TOLL mandatory, LEZ expanding in major cities",e-toll.pl
Austria,40,Intermodal transport,44.0,18.75,,,2.55,4.0,Yes,No,,Hotel required,Yes,Yes,Saturday 15:00 to Sunday 22:00,,Yes,July-August,Yes,"Vienna, Graz, Linz",Euro 3,Trucks over 3.5t,"Sticker required, 24/7",ASFINAG,GO-Box,OBU mandatory for trucks over 3.5t,,Smart Tachograph Gen2,2024,Yes,35,5,Yes,"International and cabotage, posting notification ZKO3-T",Austrian authorities,"Passport, license, CPC, tachograph, CMR, A1, ZKO3-T posting notification, employment proof",3,7,4,Yes,"IMI, ZKO3-T online",EN 12195-1,Yes,5,"A-E, Alpine tunnels very strict",Mandatory EU,Recommended,,Conditional,November 1,April 15,4.0,Radial type,5.0,When signed,50,,,70,,,80,,,80,,,0.1,,,Yes,"Many sections, especially Alps",Yes,,First aid kit,Warning vest,Warning triangle,,,,,100,EUR,2000,EUR,Yes,postingdeclaration.eu,ZKO3-T form required,"ZKO3-T posting notification online before entry, strict Alpine rules",asfinag.at
Italy,44,,,18.75,,,2.55,4.0,Yes,No,,Hotel required,Yes,Yes,Sunday 7:00-22:00,,Yes,"July-August, Saturday and Friday restrictions",Yes,"Milan, Rome, Florence, Bologna, Turin",Varies by city,Euro 4-6,"ZTL zones in cities, varies",Autostrade,Telepass,"Manual, Telepass, Viacard",,Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,Italian authorities,"Passport, license, CPC, tachograph, CMR, trailer registration, A1",3,7,4,Yes,IMI,EN 12195-1,Yes,5,"A-E, Mont Blanc = E",Mandatory EU,Recommended,,Conditional,November 15,March 15,1.6,,,When signed in mountain regions,50,,,80,Trucks over 12t,70.0,80,Trucks under 12t,100.0,80,Trucks under 12t,100.0,0.0,,,Yes,Selected sections,Yes,,Warning vest,Warning triangle,First aid kit,,,,,100,EUR,1800,EUR,Yes,postingdeclaration.eu,,"Complex ZTL zones in cities, no LHV allowed",autostrade.it
Spain,44,EMS routes,60.0,18.75,EMS on toll roads,25.25,2.55,4.0,Yes,No,,Hotel required,Yes,Limited,Varies by region,,Yes,July-August,Yes,"Madrid, Barcelona, Valencia",Varies by city,,"Madrid Central, Barcelona zones",Toll roads various operators,Via-T,"Manual, Via-T",,Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,Spanish authorities,"Passport, license, CPC, tachograph, CMR, trailer registration, A1",3,7,4,Yes,IMI,EN 12195-1,Yes,5,A-E,Mandatory EU,Recommended,,Conditional,November 15,March 15,1.6,Mountain regions,,When signed in mountain regions,50,,,70,Narrow roads,60.0,80,Dangerous goods,70.0,80,Some sections,90.0,0.3,Planned change,0.2,Yes,Selected sections,Yes,,Warning vest,First aid kit,Fire extinguisher,,,Warning triangles,2.0,100,EUR,1500,EUR,Yes,postingdeclaration.eu,,"EMS trucks allowed on toll roads, 10 km/h slower for dangerous goods",dgt.es
Netherlands,44,,,18.75,,,2.55,4.00,Yes,No,,Hotel required,Yes,Yes,Saturday 7:00 to Sunday 19:00,,Yes,July-August,Yes,"Amsterdam, Rotterdam, Utrecht",Euro 4,,24/7 enforcement,Heavy Goods Vehicle Tax,,OBU or bank transfer,Weight and distance based,Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,Dutch authorities,"Passport, license, CPC, tachograph card, CMR, trailer registration, A1, insurance",3,7,4,Yes,IMI,EN 12195-1,Yes,5,A-E,Mandatory EU,Recommended,,Conditional,November 1,March 31,3,,,When signed,50,,,70,,,80,,,80,,,0.5,,,Yes,Selected sections,Yes,,Warning triangle,First aid kit,Protective vest,Spare bulbs,Fire extinguisher,,,100,EUR,2000,EUR,Yes,postingdeclaration.eu,,"Strict LEZ enforcement, truck toll applies",vrachtwagenheffingsbeleid.nl
Belgium,44,,,18.75,,,2.55,4.00,Yes,No,,Hotel required,Yes,Yes,Saturday 22:00 to Sunday 22:00,,Yes,July-August,Yes,"Brussels, Antwerp",Euro 4,,24/7 enforcement,Vignette and distance-based,,Vignette or automatic tolling,,Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,Belgian authorities,"Passport, license, CPC, tachograph card, CMR, trailer registration, A1, insurance",3,7,4,Yes,IMI,EN 12195-1,Yes,5,A-E,Mandatory EU,Recommended,,Conditional,November 1,March 31,3,,,When signed,50,,,70,,,90,,,90,,,0.5,,,Yes,Selected sections,Yes,,Warning triangle,First aid kit,Protective vest,Spare bulbs,Fire extinguisher,,,100,EUR,1500,EUR,Yes,postingdeclaration.eu,,"LEZ in major cities, weekend bans enforced",mobilit.belgium.be
Czech Republic,40,,,18.75,,,2.55,4.00,Yes,No,,Hotel required,Yes,Limited,Regional restrictions apply,,Yes,July-August,Yes,Prague and other cities,Varies by city,,24/7 enforcement,Distance-based electronic,,e-toll mandatory,,Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,Czech authorities,"Passport, license, CPC, tachograph card, CMR, trailer registration, A1, insurance",3,7,4,Yes,IMI,EN 12195-1,Yes,5,A-E,Mandatory EU,Recommended,,Conditional,November 1,March 31,3,,,When signed,50,,,80,,,80,,,80,,,0.0,,,Yes,Selected sections,No,,Warning triangle,First aid kit,Protective vest,Spare bulbs,Fire extinguisher,,,100,EUR,1000,EUR,Yes,postingdeclaration.eu,,E-toll system mandatory,cdv.cz
Slovakia,40,,,18.75,,,2.55,4.00,Yes,No,,Hotel required,Yes,Yes,Friday 16:00 to Monday 10:00,,Yes,July-August,Yes,Bratislava and others,Euro 2,,24/7 enforcement,e-toll mandatory,,e-toll OBU,Distance and emission based,Smart Tachograph Gen2,2024,Yes,35,5,Yes,International and cabotage transport,Slovak authorities,"Passport, license, CPC, tachograph card, CMR, trailer registration, A1, insurance",3,7,4,Yes,IMI,EN 12195-1,Yes,5,A-E,Mandatory EU,Recommended,,Conditional,November 15,March 15,3,,,When signed,50,,,80,,,80,,,80,,,0.0,,,Yes,Selected sections,Yes,,Warning triangle,First aid kit,Protective vest,Spare bulbs,Fire extinguisher,,,100,EUR,1200,EUR,Yes,postingdeclaration.eu,,Weekend ban strictly enforced,emsi.sk
